order_detail_id,order_date,product_id,customer_id,territory_id,sales_order_number,sales_order_line_number,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah,product_name,model_name,color,size_range,sub_category,category,customer_name,gender,maritalstatus,birthdate,customer_city,customer_country,origin_region,origin_country,origin_groups
SO43980-1,2016-08-13,351,11048.0,9,SO43980,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Jeremy Powell,M,M,1970-11-22,Sunbury,Australia,Australia,Australia,Pacific
SO43983-1,2016-08-14,314,28017.0,1,SO43983,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Christopher Martin,M,S,1965-06-24,Bremerton,United States,Northwest,United States,North America
SO43987-1,2016-08-15,310,28042.0,4,SO43987,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Joseph Brown,M,S,1969-04-15,Concord,United States,Southwest,United States,North America
SO43988-1,2016-08-15,344,11244.0,10,SO43988,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Alexis Coleman,F,S,1977-11-26,Runcorn,United Kingdom,United Kingdom,United Kingdom,Europe
SO43994-1,2016-08-18,314,27681.0,4,SO43994,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Olivia Jackson,F,M,1971-06-10,Chula Vista,United States,Southwest,United States,North America
SO43997-1,2016-08-18,310,28022.0,4,SO43997,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jason Lopez,M,S,1966-06-12,Downey,United States,Southwest,United States,North America
SO43998-1,2016-08-18,348,11033.0,9,SO43998,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Jaime Nath,M,M,1967-09-23,Milsons Point,Australia,Australia,Australia,Pacific
SO43999-1,2016-08-18,311,28047.0,1,SO43999,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Jay Sanchez,M,S,1970-12-20,Beaverton,United States,Northwest,United States,North America
SO44001-1,2016-08-19,313,28044.0,4,SO44001,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jimmy Navarro,M,S,1969-07-12,Concord,United States,Southwest,United States,North America
SO44005-1,2016-08-19,334,26629.0,6,SO44005,1,1,9787375.0,9787375.0,5784048.0,244685.0,"Road-650 Black, 60",Road-650,Black,60-62 CM,Road Bikes,Bikes,Miranda Price,F,M,1980-02-06,Metchosin,Canada,Canada,Canada,North America
SO44008-1,2016-08-20,312,27678.0,1,SO44008,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Angel Carter,M,S,1971-09-11,Lake Oswego,United States,Northwest,United States,North America
SO44009-1,2016-08-20,314,27759.0,1,SO44009,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Alexandria Brooks,F,S,1985-05-10,Renton,United States,Northwest,United States,North America
SO44012-1,2016-08-20,349,11052.0,9,SO44012,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Heidi Lopez,F,S,1971-08-07,Matraville,Australia,Australia,Australia,Pacific
SO44014-1,2016-08-21,313,27917.0,4,SO44014,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Andrea Sanders,F,S,1993-11-02,Long Beach,United States,Southwest,United States,North America
SO44016-1,2016-08-21,350,11247.0,10,SO44016,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Claudia Zhou,F,S,1976-06-06,Lancaster,United Kingdom,United Kingdom,United Kingdom,Europe
SO44021-1,2016-08-21,348,11032.0,9,SO44021,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Denise Stone,F,M,1967-06-11,Melbourne,Australia,Australia,Australia,Pacific
SO44029-1,2016-08-23,350,11050.0,9,SO44029,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Alan Zheng,M,M,1971-09-07,Hobart,Australia,Australia,Australia,Pacific
SO44030-1,2016-08-24,311,12131.0,7,SO44030,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Randall Dominguez,M,M,1975-10-17,Dunkerque,France,France,France,Europe
SO44032-1,2016-08-24,344,11243.0,10,SO44032,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Robin Alvarez,F,M,1977-10-09,Esher-Molesey,United Kingdom,United Kingdom,United Kingdom,Europe
SO44040-1,2016-08-25,351,11057.0,9,SO44040,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Carl Andersen,M,M,1973-10-12,Lane Cove,Australia,Australia,Australia,Pacific
SO44056-1,2016-08-29,314,13559.0,8,SO44056,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Lori Ramos,F,S,1989-06-17,Berlin,Germany,Germany,Germany,Europe
SO44058-1,2016-08-29,350,11056.0,9,SO44058,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Michele Nath,F,M,1973-04-03,Newcastle,Australia,Australia,Australia,Pacific
SO44062-1,2016-08-30,310,28041.0,1,SO44062,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Rebecca Wright,F,S,1969-05-02,Olympia,United States,Northwest,United States,North America
SO44063-1,2016-08-30,344,11240.0,10,SO44063,1,1,47599860.0,47599860.0,26770162.0,1189997.0,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Anne Hernandez,F,M,1978-12-11,Watford,United Kingdom,United Kingdom,United Kingdom,Europe
SO44068-1,2016-08-31,313,13541.0,8,SO44068,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Ashlee Xu,F,M,1980-08-12,Hannover,Germany,Germany,Germany,Europe
SO44073-1,2016-08-31,351,11044.0,9,SO44073,1,1,47249860.0,47249860.0,26573322.0,1181247.0,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Adam Flores,M,M,1969-05-24,Hervey Bay,Australia,Australia,Australia,Pacific
SO44143-1,2016-09-02,313,28145.0,4,SO44143,1,1,50095780.0,50095780.0,30398119.0,1252395.0,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Brandon Jones,M,S,1994-11-11,Burbank,United States,Southwest,United States,North America
